web;title;library;url;size
"МБДОУ Кожильский д/с ""Колосок""";копии годовой бухгалтерской отчетности.zip;Отчеты о ФХД;/blz/blz_ds_koj/DocLib11/копии годовой бухгалтерской отчетности.zip;28,00702374
"МБДОУ Кожильский д/с ""Колосок""";Устав.pdf;Копии документов;/blz/blz_ds_koj/DocLib15/Устав.pdf;25,49123405
"МБДОУ Кожильский д/с ""Колосок""";Коллективный договор.pdf;Локальные нормативные акты;/blz/blz_ds_koj/DocLib13/Коллективный договор.pdf;19,19266211
"МБДОУ Кожильский д/с ""Колосок""";Рукотворная красота.doc;pages;/blz/blz_ds_koj/pages/Рукотворная красота.doc;18,30769231
"МБДОУ Кожильский д/с ""Колосок""";муниципальное задание 2015 год колосок.pdf;Отчеты о ФХД;/blz/blz_ds_koj/DocLib11/муниципальное задание 2015 год колосок.pdf;14,26452324
"МБДОУ Кожильский д/с ""Колосок""";Документы об официальном сайте.rar;Локальные нормативные акты;/blz/blz_ds_koj/DocLib13/Документы об официальном сайте.rar;8,761683116
"МБДОУ Кожильский д/с ""Колосок""";сайт.docx;pages;/blz/blz_ds_koj/pages/сайт.docx;8,045430381
"МБДОУ Кожильский д/с ""Колосок""";ПФХД на 2015 год.pdf;Финансово-хозяйственная деятельность;/blz/blz_ds_koj/fin/ПФХД на 2015 год.pdf;7,647283731
"МБДОУ Кожильский д/с ""Колосок""";Правила внутреннего трудового распорядка для работников МБДОУ Кожильский детский сад.docx;Локальные нормативные акты;/blz/blz_ds_koj/DocLib13/Правила внутреннего трудового распорядка для работников МБДОУ Кожильский детский сад.docx;7,30904736
"МБДОУ Кожильский д/с ""Колосок""";Положение о порядке приёма воспитанников.docx;Информация о приеме в детский сад;/blz/blz_ds_koj/DocLib14/Положение о порядке приёма воспитанников.docx;6,864120092
"МБДОУ Кожильский д/с ""Колосок""";Положение о порядке приёма воспитанников.docx;Локальные нормативные акты;/blz/blz_ds_koj/DocLib13/Положение о порядке приёма воспитанников.docx;6,864120092
"МБДОУ Кожильский д/с ""Колосок""";детский сад.jpg;Копии документов;/blz/blz_ds_koj/DocLib15/детский сад.jpg;6,142527082
"МБДОУ Кожильский д/с ""Колосок""";Лицензия.docx;pages;/blz/blz_ds_koj/pages/Лицензия.docx;6,11362218
"МБДОУ Кожильский д/с ""Колосок""";Лицензия.docx;Элементы интерфейса ОУ;/blz/blz_ds_koj/DocLib/Лицензия.docx;6,11362218
"МБДОУ Кожильский д/с ""Колосок""";Поступления и расходование финансовых и материальных средств.docx;Отчеты о ФХД;/blz/blz_ds_koj/DocLib11/Поступления и расходование финансовых и материальных средств.docx;6,039520926
"МБДОУ Кожильский д/с ""Колосок""";Муниципальное задание на 2016 год.pdf;Отчеты о ФХД;/blz/blz_ds_koj/DocLib11/Муниципальное задание на 2016 год.pdf;5,749959551
"МБДОУ Кожильский д/с ""Колосок""";Правила внутреннего распорядка (воспитанников).docx;Локальные нормативные акты;/blz/blz_ds_koj/DocLib13/Правила внутреннего распорядка (воспитанников).docx;5,617107564
"МБДОУ Кожильский д/с ""Колосок""";ПФХД на 01 апреля 2015 года.pdf;Финансово-хозяйственная деятельность;/blz/blz_ds_koj/fin/ПФХД на 01 апреля 2015 года.pdf;5,432207879
"МБДОУ Кожильский д/с ""Колосок""";Муниципальное задание на 2017 год_Колосок.pdf;Отчеты о ФХД;/blz/blz_ds_koj/DocLib11/Муниципальное задание на 2017 год_Колосок.pdf;5,222456893
"МБДОУ Кожильский д/с ""Колосок""";Положение о родительском комитете.docx;Локальные нормативные акты;/blz/blz_ds_koj/DocLib13/Положение о родительском комитете.docx;5,094717895
"МБДОУ Кожильский д/с ""Колосок""";экскурсия.docx;pages;/blz/blz_ds_koj/pages/экскурсия.docx;4,777595114
"МБДОУ Кожильский д/с ""Колосок""";Положение об организации питания.docx;pages;/blz/blz_ds_koj/pages/Положение об организации питания.docx;4,697665303
"МБДОУ Кожильский д/с ""Колосок""";кормушки 002.jpg;pages;/blz/blz_ds_koj/pages/кормушки 002.jpg;4,543937608
"МБДОУ Кожильский д/с ""Колосок""";садик 142.JPG;pages;/blz/blz_ds_koj/pages/садик 142.JPG;4,479020279
"МБДОУ Кожильский д/с ""Колосок""";кормушки 001.jpg;pages;/blz/blz_ds_koj/pages/кормушки 001.jpg;4,460585013
"МБДОУ Кожильский д/с ""Колосок""";садик 155.JPG;pages;/blz/blz_ds_koj/pages/садик 155.JPG;4,450019069
"МБДОУ Кожильский д/с ""Колосок""";кормушки 005.jpg;pages;/blz/blz_ds_koj/pages/кормушки 005.jpg;4,382448456
"МБДОУ Кожильский д/с ""Колосок""";Колосок свидетельство.JPG;Общие документы;/blz/blz_ds_koj/commondocs/Колосок свидетельство.JPG;4,351741633
"МБДОУ Кожильский д/с ""Колосок""";кормушки 004.jpg;pages;/blz/blz_ds_koj/pages/кормушки 004.jpg;4,351550943
"МБДОУ Кожильский д/с ""Колосок""";кормушки 006.jpg;pages;/blz/blz_ds_koj/pages/кормушки 006.jpg;4,348683856
"МБДОУ Кожильский д/с ""Колосок""";DSCN0763.JPG;pages;/blz/blz_ds_koj/pages/DSCN0763.JPG;4,346977279
"МБДОУ Кожильский д/с ""Колосок""";План ФХД на 31 марта 2016 г.pdf;Финансово-хозяйственная деятельность;/blz/blz_ds_koj/fin/План ФХД на 31 марта 2016 г.pdf;4,171320266
"МБДОУ Кожильский д/с ""Колосок""";Положение о педагогическом совете .docx;Локальные нормативные акты;/blz/blz_ds_koj/DocLib13/Положение о педагогическом совете .docx;4,029112927
"МБДОУ Кожильский д/с ""Колосок""";Учебный план на 2016-2017 уч. год.docx;Образовательные программы и учебные планы;/blz/blz_ds_koj/DocLib2/Учебный план на 2016-2017 уч. год.docx;3,922753328
"МБДОУ Кожильский д/с ""Колосок""";кормушки 007.jpg;pages;/blz/blz_ds_koj/pages/кормушки 007.jpg;3,917679826
"МБДОУ Кожильский д/с ""Колосок""";ПФХД на 2016 год.pdf;Финансово-хозяйственная деятельность;/blz/blz_ds_koj/fin/ПФХД на 2016 год.pdf;3,858607426
"МБДОУ Кожильский д/с ""Колосок""";Предписание Пожнадзора.pdf;Предписания и отчеты;/blz/blz_ds_koj/DocLib12/Предписание Пожнадзора.pdf;3,840422561
